States/UT,2016,2017,2018,2019,2020,2021
Jammu & Kashmir,1421,1516,1618,12675,13012,13354
Himachal Pradesh,613,647,681,8589,8799,8978
Punjab,3321,3503,3694,37744,38636,39521
Chandigarh,196,207,219,994,1024,1053
Uttaranchal,1217,1298,1384,11216,11482,11779
Haryana,3103,3308,3526,28453,29219,30015
Delhi,3181,3351,3530,24436,25178,25969
Rajasthan,7536,7996,8483,69156,70987,72825
Uttar Pradesh,21376,22737,24181,196652,201319,206088
Bihar,9958,10644,11378,101014,103711,106435
Sikkim,30,30,31,443,445,465
Arunachal Pradesh,82,84,85,1015,1035,1064
Nagaland,67,67,68,1719,1768,1805
Manipur,273,281,289,1844,1899,2022
Mizoram,97,99,101,1783,1837,1919
Tripura,129,130,132,2507,2574,2623
Meghalaya,104,106,108,2808,2879,2943
Assam,2406,2437,2467,36948,37880,38834
West Bengal,10902,11550,12234,105814,108394,110972
Jharkhand,3716,3962,4225,33045,33961,34910
Orissa,4205,4448,4705,49604,50692,51829
Chhattisgarh,2944,3145,3359,27113,27828,28529
Madhya Pradesh,8334,8858,9414,75911,77888,79871
Gujarat,8001,8504,9039,67841,69660,71507
Daman & Diu,42,47,52,118,124,135
Dadra & Nagar Haveli,54,61,68,186,206,219
Maharashtra,14726,15522,16358,113374,116121,118906
Telangana,4633,4918,5220,46464,47620,48775
Andhra Pradesh,5901,6251,6620,68883,70424,71970
Karnataka,8029,8527,9055,83824,85968,88126
Goa,233,247,262,1591,1618,1652
Lakshadweep,14,15,17,27,27,28
Kerala,5682,6189,6748,56148,57155,58139
Tamil Nadu,9486,9870,10269,86596,88866,91184
Pondicherry,227,242,257,1523,1577,1623
Andaman & Nicobar Islands,44,45,47,357,366,380
Total,142283,150842,159924,1358415,1392179,1426447
